RF,nodes Count,
RF_15_t6_sigma_0_0,617,
RF_15_t6_sigma_0_1,543,
RF_15_t6_sigma_0_2,245,
RF_15_t6_sigma_0_3,172,
RF_15_t7,345,
RF_15_t7_sigma_0_0,477,
RF_15_t7_sigma_0_1,465,
RF_15_t7_sigma_0_2,201,
RF_15_t7_sigma_0_3,102,
RF_15_t8,222,
RF_15_t8_sigma_0_0,345,
RF_15_t8_sigma_0_1,385,
RF_15_t8_sigma_0_2,170,
RF_15_t8_sigma_0_3,66,
RF_15_t9,147,
RF_15_t9_sigma_0_0,229,
RF_15_t9_sigma_0_1,311,
RF_15_t9_sigma_0_2,152,
RF_15_t9_sigma_0_3,54,
RF_15_t10,94,
RF_15_t10_sigma_0_0,154,
RF_15_t10_sigma_0_1,242,
RF_15_t10_sigma_0_2,120,
RF_15_t10_sigma_0_3,47,
RF_15_t11,41,
RF_15_t11_sigma_0_0,107,
RF_15_t11_sigma_0_1,207,
RF_15_t11_sigma_0_2,96,
RF_15_t11_sigma_0_3,40,
RF_15_t12,24,
RF_15_t12_sigma_0_0,57,
RF_15_t12_sigma_0_1,160,
RF_15_t12_sigma_0_2,76,
RF_15_t12_sigma_0_3,38,
RF_15_t13,14,
RF_15_t13_sigma_0_0,34,
RF_15_t13_sigma_0_1,109,
RF_15_t13_sigma_0_2,59,
RF_15_t13_sigma_0_3,35,
RF_15_t14,8,
RF_15_t14_sigma_0_0,16,
RF_15_t14_sigma_0_1,81,
RF_15_t14_sigma_0_2,52,
RF_15_t14_sigma_0_3,34,
RF_15_t15,4,
RF_15_t15_sigma_0_0,9,
RF_15_t15_sigma_0_1,63,
RF_15_t15_sigma_0_2,46,
RF_15_t15_sigma_0_3,34,
RF_15_t16,3,
RF_15_t16_sigma_0_0,4,
RF_15_t16_sigma_0_1,50,
RF_15_t16_sigma_0_2,40,
RF_15_t16_sigma_0_3,33,
RF_15_t17,2,
RF_15_t17_sigma_0_0,2,
RF_15_t17_sigma_0_1,40,
RF_15_t17_sigma_0_2,38,
RF_15_t17_sigma_0_3,32,
RF_15_t18,1,
RF_15_t18_sigma_0_0,1,
RF_15_t18_sigma_0_1,30,
RF_15_t18_sigma_0_2,36,
RF_15_t18_sigma_0_3,32,
RF_15_t19,1,
RF_15_t19_sigma_0_0,1,
RF_15_t19_sigma_0_1,21,
RF_15_t19_sigma_0_2,35,
RF_15_t19_sigma_0_3,32,
RF_15_t20,1,
RF_15_t20_sigma_0_0,1,
RF_15_t20_sigma_0_1,17,
RF_15_t20_sigma_0_2,35,
RF_15_t20_sigma_0_3,32,
RF_15_t21,1,
RF_15_t21_sigma_0_0,1,
RF_15_t21_sigma_0_1,11,
RF_15_t21_sigma_0_2,35,
RF_15_t21_sigma_0_3,32,
RF_15_t22,1,
RF_15_t22_sigma_0_0,1,
RF_15_t22_sigma_0_1,9,
RF_15_t22_sigma_0_2,35,
RF_15_t22_sigma_0_3,32,
RF_15_t23,1,
RF_15_t23_sigma_0_0,1,
RF_15_t23_sigma_0_1,6,
RF_15_t23_sigma_0_2,35,
RF_15_t23_sigma_0_3,32,
RF_15_t24,1,
RF_15_t24_sigma_0_0,1,
RF_15_t24_sigma_0_1,2,
RF_15_t24_sigma_0_2,35,
RF_15_t24_sigma_0_3,32,
RF_15_t25,1,
RF_15_t25_sigma_0_0,1,
RF_15_t25_sigma_0_1,1,
RF_15_t25_sigma_0_2,30,
RF_15_t25_sigma_0_3,29,
RF_20,17797,
RF_20_sigma_0_0,17797,
RF_20_sigma_0_1,17645,
RF_20_sigma_0_2,16465,
RF_20_sigma_0_3,13769,
RF_20_t2,1552,
RF_20_t2_sigma_0_0,1302,
RF_20_t2_sigma_0_1,1067,
RF_20_t2_sigma_0_2,2029,
RF_20_t2_sigma_0_3,3358,
RF_20_t3,1203,
RF_20_t3_sigma_0_0,1090,
RF_20_t3_sigma_0_1,758,
RF_20_t3_sigma_0_2,737,
RF_20_t3_sigma_0_3,1645,
RF_20_t4,955,
RF_20_t4_sigma_0_0,945,
RF_20_t4_sigma_0_1,688,
RF_20_t4_sigma_0_2,440,
RF_20_t4_sigma_0_3,839,
RF_20_t5,750,
RF_20_t5_sigma_0_0,778,
RF_20_t5_sigma_0_1,631,
RF_20_t5_sigma_0_2,330,
RF_20_t5_sigma_0_3,403,
RF_20_t6,564,
RF_20_t6_sigma_0_0,645,
RF_20_t6_sigma_0_1,574,
RF_20_t6_sigma_0_2,284,
RF_20_t6_sigma_0_3,190,
RF_20_t7,414,
RF_20_t7_sigma_0_0,510,
RF_20_t7_sigma_0_1,498,
RF_20_t7_sigma_0_2,257,
RF_20_t7_sigma_0_3,129,
RF_20_t8,279,
RF_20_t8_sigma_0_0,399,
