Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,10,1,0.7,LinearSVC(max_iter=10000),0.591,0.217,-0.10900000000000001,2.186,0.19199999999999995,7.612,1.0650000000000004,334,0.33,0:06:48.722718,0:00:05.408407
25,10,1,0.7,LogisticRegression(max_iter=10000),0.644,0.306,-0.119,2.056,0.20900000000000007,6.746,1.1550000000000002,334,0.33,0:00:44.702301,0:00:05.408407
25,10,1,0.6,MultinomialNB(),-1.741,-1.438,-0.832,3.826,0.685,23.699,8.085,172,0.17,0:00:00.013435,0:00:02.087456
25,10,1,0.6,LinearSVC(max_iter=10000),0.492,0.033,-0.29300000000000004,2.442,0.4480000000000002,9.395,2.848,172,0.17,0:02:33.697109,0:00:02.087456
25,10,1,0.6,LogisticRegression(max_iter=10000),0.525,0.171,-0.254,2.257,0.41000000000000014,8.062,2.470999999999999,172,0.17,0:00:31.956880,0:00:02.087456
25,10,2,1,MultinomialNB(),0.236,0.1,0.0,2.372,0.0,8.745,0.0,538,1,0:00:00.051652,0:00:11.003269
25,10,2,1,LinearSVC(max_iter=10000),0.779,0.332,0.0,1.976,0.0,6.496,0.0,538,1,0:07:13.543389,0:00:11.003269
25,10,2,1,LogisticRegression(max_iter=10000),0.823,0.42,0.0,1.863,0.0,5.638,0.0,538,1,0:01:19.576232,0:00:11.003269
25,10,2,0.975,MultinomialNB(),0.201,0.09,-0.010000000000000009,2.384,0.01200000000000001,8.843,0.09800000000000075,458,0.851,0:00:00.031227,0:00:07.911317
25,10,2,0.975,LinearSVC(max_iter=10000),0.764,0.333,0.0010000000000000009,1.981,0.0050000000000001155,6.482,-0.014000000000000234,458,0.851,0:06:18.830067,0:00:07.911317
25,10,2,0.975,LogisticRegression(max_iter=10000),0.811,0.428,0.008000000000000007,1.857,-0.006000000000000005,5.556,-0.08199999999999985,458,0.851,0:01:08.566126,0:00:07.911317
25,10,2,0.95,MultinomialNB(),0.139,0.057,-0.043000000000000003,2.411,0.039000000000000146,9.161,0.41600000000000037,416,0.773,0:00:00.028306,0:00:06.432433
25,10,2,0.95,LinearSVC(max_iter=10000),0.751,0.345,0.012999999999999956,1.984,0.008000000000000007,6.37,-0.12600000000000033,416,0.773,0:05:47.772737,0:00:06.432433
25,10,2,0.95,LogisticRegression(max_iter=10000),0.794,0.439,0.019000000000000017,1.84,-0.02299999999999991,5.454,-0.18400000000000016,416,0.773,0:00:58.430433,0:00:06.432433
25,10,2,0.925,MultinomialNB(),0.034,-0.001,-0.101,2.482,0.11000000000000032,9.73,0.9850000000000012,376,0.699,0:00:00.025949,0:00:05.401306
25,10,2,0.925,LinearSVC(max_iter=10000),0.741,0.28,-0.05199999999999999,2.083,0.1070000000000002,7.001,0.5049999999999999,376,0.699,0:05:59.365675,0:00:05.401306
25,10,2,0.925,LogisticRegression(max_iter=10000),0.78,0.384,-0.035999999999999976,1.921,0.05800000000000005,5.987,0.3490000000000002,376,0.699,0:01:21.848518,0:00:05.401306
25,10,2,0.9,MultinomialNB(),0.026,0.009,-0.09100000000000001,2.474,0.10200000000000031,9.632,0.8870000000000005,355,0.66,0:00:00.035282,0:00:05.023830
25,10,2,0.9,LinearSVC(max_iter=10000),0.733,0.306,-0.026000000000000023,2.044,0.06800000000000006,6.741,0.24499999999999922,355,0.66,0:05:48.383026,0:00:05.023830
25,10,2,0.9,LogisticRegression(max_iter=10000),0.772,0.389,-0.030999999999999972,1.924,0.06099999999999994,5.934,0.29600000000000026,355,0.66,0:00:46.625412,0:00:05.023830
25,10,2,0.85,MultinomialNB(),-0.134,-0.138,-0.23800000000000002,2.652,0.28000000000000025,11.064,2.319000000000001,295,0.548,0:00:00.021119,0:00:03.282870
25,10,2,0.85,LinearSVC(max_iter=10000),0.703,0.267,-0.065,2.093,0.11699999999999999,7.127,0.6309999999999993,295,0.548,0:04:28.388170,0:00:03.282870
25,10,2,0.85,LogisticRegression(max_iter=10000),0.74,0.364,-0.055999999999999994,1.96,0.09699999999999998,6.179,0.5410000000000004,295,0.548,0:00:44.431543,0:00:03.282870
25,10,2,0.8,MultinomialNB(),-0.248,-0.179,-0.279,2.708,0.3360000000000003,11.457,2.7120000000000015,257,0.478,0:00:00.019462,0:00:02.410406
25,10,2,0.8,LinearSVC(max_iter=10000),0.671,0.216,-0.11600000000000002,2.197,0.22100000000000009,7.622,1.1259999999999994,257,0.478,0:03:40.891942,0:00:02.410406
25,10,2,0.8,LogisticRegression(max_iter=10000),0.721,0.334,-0.08599999999999997,2.035,0.17200000000000015,6.472,0.8340000000000005,257,0.478,0:00:34.402367,0:00:02.410406
25,10,2,0.7,MultinomialNB(),-0.606,-0.655,-0.755,3.117,0.7450000000000001,16.082,7.3370000000000015,164,0.305,0:00:00.013307,0:00:01.352095
25,10,2,0.7,LinearSVC(max_iter=10000),0.586,0.222,-0.11000000000000001,2.172,0.19600000000000017,7.557,1.061,164,0.305,0:01:53.106435,0:00:01.352095
