Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,2,0.7,LinearSVC(max_iter=10000),0.907,0.907,-0.06499999999999995,0.863,-0.09599999999999997,0.907,0.874,-0.09399999999999997,63,0.394,0:01:00.733467,0:00:25.096786
25,5,2,0.7,LogisticRegression(max_iter=10000),0.907,0.907,-0.06499999999999995,0.862,-0.09699999999999998,0.907,0.871,-0.09499999999999997,63,0.394,0:00:24.701142,0:00:25.096786
25,5,2,0.6,MultinomialNB(),0.771,0.771,-0.16400000000000003,0.735,-0.17000000000000004,0.771,0.846,-0.07700000000000007,31,0.194,0:00:00.113303,0:00:20.643802
25,5,2,0.6,LinearSVC(max_iter=10000),0.902,0.901,-0.07099999999999995,0.855,-0.10399999999999998,0.901,0.868,-0.09999999999999998,31,0.194,0:00:22.665255,0:00:20.643802
25,5,2,0.6,LogisticRegression(max_iter=10000),0.896,0.896,-0.07599999999999996,0.844,-0.11499999999999999,0.896,0.849,-0.11699999999999999,31,0.194,0:00:10.951093,0:00:20.643802
25,10,1,1,MultinomialNB(),0.927,0.928,0.0,0.893,0.0,0.928,0.903,0.0,584,1,0:00:00.917417,0:08:47.637338
25,10,1,1,LinearSVC(max_iter=10000),0.972,0.971,0.0,0.956,0.0,0.971,0.966,0.0,584,1,0:18:47.254531,0:08:47.637338
25,10,1,1,LogisticRegression(max_iter=10000),0.973,0.971,0.0,0.957,0.0,0.971,0.965,0.0,584,1,0:03:31.895579,0:08:47.637338
25,10,1,0.975,MultinomialNB(),0.915,0.916,-0.01200000000000001,0.877,-0.016000000000000014,0.916,0.894,-0.009000000000000008,557,0.954,0:00:00.901852,0:08:09.733318
25,10,1,0.975,LinearSVC(max_iter=10000),0.971,0.971,0.0,0.957,0.0010000000000000009,0.971,0.966,0.0,557,0.954,0:17:49.959951,0:08:09.733318
25,10,1,0.975,LogisticRegression(max_iter=10000),0.973,0.972,0.0010000000000000009,0.957,0.0,0.972,0.965,0.0,557,0.954,0:03:07.159284,0:08:09.733318
25,10,1,0.95,MultinomialNB(),0.91,0.911,-0.017000000000000015,0.871,-0.02200000000000002,0.911,0.891,-0.01200000000000001,509,0.872,0:00:00.803809,0:06:58.922767
25,10,1,0.95,LinearSVC(max_iter=10000),0.967,0.967,-0.0040000000000000036,0.95,-0.006000000000000005,0.967,0.956,-0.010000000000000009,509,0.872,0:18:13.329148,0:06:58.922767
25,10,1,0.95,LogisticRegression(max_iter=10000),0.969,0.968,-0.0030000000000000027,0.952,-0.0050000000000000044,0.968,0.957,-0.008000000000000007,509,0.872,0:02:55.181627,0:06:58.922767
25,10,1,0.925,MultinomialNB(),0.91,0.911,-0.017000000000000015,0.871,-0.02200000000000002,0.911,0.892,-0.01100000000000001,487,0.834,0:00:00.806303,0:06:30.369937
25,10,1,0.925,LinearSVC(max_iter=10000),0.967,0.966,-0.0050000000000000044,0.949,-0.007000000000000006,0.966,0.955,-0.01100000000000001,487,0.834,0:16:57.204828,0:06:30.369937
25,10,1,0.925,LogisticRegression(max_iter=10000),0.968,0.967,-0.0040000000000000036,0.95,-0.007000000000000006,0.967,0.953,-0.01200000000000001,487,0.834,0:02:48.262234,0:06:30.369937
25,10,1,0.9,MultinomialNB(),0.91,0.911,-0.017000000000000015,0.871,-0.02200000000000002,0.911,0.892,-0.01100000000000001,465,0.796,0:00:00.752873,0:06:03.247288
25,10,1,0.9,LinearSVC(max_iter=10000),0.965,0.965,-0.006000000000000005,0.948,-0.008000000000000007,0.965,0.954,-0.01200000000000001,465,0.796,0:16:01.101858,0:06:03.247288
25,10,1,0.9,LogisticRegression(max_iter=10000),0.968,0.967,-0.0040000000000000036,0.95,-0.007000000000000006,0.967,0.954,-0.01100000000000001,465,0.796,0:02:29.396527,0:06:03.247288
25,10,1,0.85,MultinomialNB(),0.901,0.901,-0.027000000000000024,0.86,-0.03300000000000003,0.901,0.886,-0.017000000000000015,402,0.688,0:00:00.658857,0:04:53.568365
25,10,1,0.85,LinearSVC(max_iter=10000),0.956,0.955,-0.016000000000000014,0.934,-0.02199999999999991,0.955,0.949,-0.017000000000000015,402,0.688,0:14:48.150644,0:04:53.568365
25,10,1,0.85,LogisticRegression(max_iter=10000),0.958,0.957,-0.014000000000000012,0.936,-0.020999999999999908,0.957,0.947,-0.018000000000000016,402,0.688,0:02:18.119162,0:04:53.568365
25,10,1,0.8,MultinomialNB(),0.883,0.883,-0.04500000000000004,0.841,-0.052000000000000046,0.883,0.883,-0.020000000000000018,347,0.594,0:00:00.584889,0:03:57.400300
25,10,1,0.8,LinearSVC(max_iter=10000),0.956,0.956,-0.015000000000000013,0.935,-0.020999999999999908,0.956,0.95,-0.016000000000000014,347,0.594,0:14:20.254270,0:03:57.400300
25,10,1,0.8,LogisticRegression(max_iter=10000),0.957,0.956,-0.015000000000000013,0.935,-0.02199999999999991,0.956,0.948,-0.017000000000000015,347,0.594,0:01:33.326766,0:03:57.400300
25,10,1,0.7,MultinomialNB(),0.82,0.82,-0.1080000000000001,0.778,-0.11499999999999999,0.82,0.86,-0.04300000000000004,226,0.387,0:00:00.390783,0:02:26.501093
