Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,2,0.8,LinearSVC(max_iter=10000),0.021,-0.039,-0.0049999999999999975,0.599,-0.014000000000000012,0.823,0.0040000000000000036,23,0.411,0:00:01.099019,0:00:00.050486
25,5,2,0.8,LogisticRegression(max_iter=10000),0.043,-0.058,-0.08700000000000001,0.62,0.028000000000000025,0.839,0.06999999999999995,23,0.411,0:00:00.733615,0:00:00.050486
25,5,2,0.7,MultinomialNB(),-0.721,-0.653,-0.255,0.806,0.05900000000000005,1.31,0.20199999999999996,20,0.357,0:00:00.003012,0:00:00.055270
25,5,2,0.7,LinearSVC(max_iter=10000),0.022,-0.035,-0.0010000000000000009,0.598,-0.015000000000000013,0.82,0.0010000000000000009,20,0.357,0:00:00.818908,0:00:00.055270
25,5,2,0.7,LogisticRegression(max_iter=10000),0.039,-0.052,-0.081,0.611,0.019000000000000017,0.834,0.06499999999999995,20,0.357,0:00:00.654750,0:00:00.055270
25,5,2,0.6,MultinomialNB(),-0.288,-0.235,0.16300000000000003,0.695,-0.052000000000000046,0.979,-0.12900000000000011,7,0.125,0:00:00.002587,0:00:00.044859
25,5,2,0.6,LinearSVC(max_iter=10000),0.014,-0.048,-0.013999999999999999,0.608,-0.0050000000000000044,0.831,0.01200000000000001,7,0.125,0:00:00.226902,0:00:00.044859
25,5,2,0.6,LogisticRegression(max_iter=10000),0.021,-0.039,-0.068,0.603,0.01100000000000001,0.823,0.05399999999999994,7,0.125,0:00:00.321392,0:00:00.044859
25,10,1,1,MultinomialNB(),-1.229,-1.075,0.0,0.976,0.0,1.645,0.0,307,1,0:00:00.014556,0:00:02.811370
25,10,1,1,LinearSVC(max_iter=10000),0.239,0.056,0.0,0.587,0.0,0.748,0.0,307,1,0:01:22.783236,0:00:02.811370
25,10,1,1,LogisticRegression(max_iter=10000),0.241,0.087,0.0,0.581,0.0,0.723,0.0,307,1,0:00:08.234415,0:00:02.811370
25,10,1,0.975,MultinomialNB(),-1.431,-1.235,-0.16000000000000014,1.022,0.04600000000000004,1.771,0.1259999999999999,240,0.782,0:00:00.011708,0:00:01.242457
25,10,1,0.975,LinearSVC(max_iter=10000),0.183,0.036,-0.020000000000000004,0.591,0.0040000000000000036,0.764,0.016000000000000014,240,0.782,0:00:46.044612,0:00:01.242457
25,10,1,0.975,LogisticRegression(max_iter=10000),0.188,0.065,-0.021999999999999992,0.584,0.0030000000000000027,0.741,0.018000000000000016,240,0.782,0:00:06.333763,0:00:01.242457
25,10,1,0.95,MultinomialNB(),-1.589,-1.397,-0.32200000000000006,1.055,0.07899999999999996,1.9,0.2549999999999999,207,0.674,0:00:00.009134,0:00:01.000597
25,10,1,0.95,LinearSVC(max_iter=10000),0.177,0.061,0.0049999999999999975,0.574,-0.013000000000000012,0.744,-0.0040000000000000036,207,0.674,0:00:40.624943,0:00:01.000597
25,10,1,0.95,LogisticRegression(max_iter=10000),0.172,0.063,-0.023999999999999994,0.582,0.0010000000000000009,0.743,0.020000000000000018,207,0.674,0:00:05.904498,0:00:01.000597
25,10,1,0.925,MultinomialNB(),-1.616,-1.401,-0.32600000000000007,1.058,0.08200000000000007,1.903,0.258,187,0.609,0:00:00.009835,0:00:00.935611
25,10,1,0.925,LinearSVC(max_iter=10000),0.145,0.01,-0.046,0.587,0.0,0.785,0.03700000000000003,187,0.609,0:00:33.157693,0:00:00.935611
25,10,1,0.925,LogisticRegression(max_iter=10000),0.15,0.051,-0.036,0.585,0.0040000000000000036,0.752,0.029000000000000026,187,0.609,0:00:04.225085,0:00:00.935611
25,10,1,0.9,MultinomialNB(),-1.216,-1.041,0.03400000000000003,0.966,-0.010000000000000009,1.617,-0.028000000000000025,166,0.541,0:00:00.008235,0:00:00.743307
25,10,1,0.9,LinearSVC(max_iter=10000),0.116,0.014,-0.042,0.588,0.0010000000000000009,0.782,0.03400000000000003,166,0.541,0:00:28.206030,0:00:00.743307
25,10,1,0.9,LogisticRegression(max_iter=10000),0.135,0.052,-0.034999999999999996,0.58,-0.0010000000000000009,0.751,0.028000000000000025,166,0.541,0:00:09.793720,0:00:00.743307
